Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,Relavance,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
nutritional_recommendations,Are you following any medical nutrition recommendations?,Nutritional recommendations?,"Yes, I try to follow my diet plan, but at the moment I have a lot of stress and eat irregularly.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diet,,0,Verfolgen Sie medizinische Ernährungsempfehlungen?,Gewichtsänderung?,"Ja, ich versuche meinen Ernährungsplan zu folgen, aber im Moment habe ich viel Stress und esse unregelmäßig.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Följer du några medicinska näringsrekommendationer?,Näringsrekommendationer?,"Ja, jag försöker följa min dietplan, men just nu har jag mycket stress och äter oregelbundet.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar laikotės kokių nors medicininės mitybos rekomendacijų?,Svorio keitimas?,"Taip, aš stengiuosi laikytis savo dietos plano, tačiau šiuo metu patiriu daug streso ir valgau nereguliariai.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs sekojat kādiem medicīniskiem uztura ieteikumiem?,Uztura ieteikumi?,"Jā, cenšos ievērot savu uztura plānu, bet šobrīd man ir daudz stresa un ēdu neregulāri.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
diet_plan,What diet plan do you typically follow?,Diet plan?,I make sure I eat a balanced diet and count carbohydrates.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diet,,0,Welchen Diätplan folgen Sie normalerweise?,Frühstück,"Ich stelle sicher, dass ich eine ausgewogene Ernährung aß und Kohlenhydrate zähle.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vilken dietplan följer du vanligtvis?,Dietplan?,Jag ser till att jag äter en balanserad diet och räknar kolhydrater.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kokios dietos paprastai laikotės?,Pusryčiai,"Aš įsitikinu, kad valgau subalansuotą maistą ir suskaičiuoju angliavandenius.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kādu diētas plānu jūs parasti ievērojat?,Brokastis,"Es pārliecinos, ka ēdu sabalansētu uzturu un skaitītu ogļhidrātus.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
eating_habits_problems,Have you identified any problems with your eating habits?,Problems with eating habits?,At the moment I'm struggling because my everyday life is so stressful.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diet,,0,Haben Sie Probleme mit Ihren Essgewohnheiten identifiziert?,Ernährungsempfehlungen?,"Im Moment kämpfe ich, weil mein Alltag so stressig ist.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du identifierat några problem med dina matvanor?,Problem med matvanor?,Just nu kämpar jag eftersom min vardag är så stressande.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar identifikavote kokių nors savo valgymo įpročių problemų?,Mitybos rekomendacijos?,"Šiuo metu aš kovoju, nes mano kasdienis gyvenimas yra toks stresas.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai esat identificējis kādas problēmas ar ēšanas paradumiem?,Problēmas ar ēšanas paradumiem?,"Tagad ir grūtāk, jo daudz stresa ikdienā.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
eating_habits,How often do you eat? what kind of food do you eat?,What are your eating habits?,"I try to eat four times a day, that's the best for me.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diet,,0,Wie oft isst du? welche Art von Essen isst du?,Diät Plan?,"Ich versuche viermal am Tag zu essen, das ist das Beste für mich.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur ofta äter du? Vilken typ av mat äter du?,Vilka är dina matvanor?,"Jag försöker äta fyra gånger om dagen, det är det bästa för mig.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip dažnai valgote? Kokį maistą valgote?,Dietos planas?,"Stengiuosi valgyti keturis kartus per dieną, tai man geriausia.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Cik bieži jūs ēdat? Kādu ēdienu jūs ēdat?,Diētas plāns?,"Es cenšos ēst četras reizes dienā, tas man ir labākais.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
food_preparation,How is your food prepared?,How is your food prepared?,I cook for my family and myself.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind11,,diet,,0,Wie ist Ihr Essen zubereitet?,Probleme mit Essgewohnheiten?,Ich koche für meine Familie und mich.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur är din mat beredd?,Hur är din mat beredd?,Jag lagar mat för min familj och mig själv.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip paruoštas Jūsų maistas?,Valgymo įpročių problemos?,Aš gaminu maistą savo šeimai ir sau.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kā tiek pagatavots jūsu ēdiens?,Kā tiek pagatavots Jūsu ēdiens?,Es gatavoju savai ģimenei un sev.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
sugary_drinks,Do you drink sugar sweetened drinks?,Sugary drinks?,No. don't like them.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diet,,0,Trinkst du Zucker gesüßte Getränke?,Was sind Ihre Essgewohnheiten?,Mag sie nicht.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Dricker du socker sötade drycker?,Sockerhaltiga drycker?,Nej. Gillar inte dem.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar geriate cukrumi saldintus gėrimus?,Kokie Jūsų mitybos įpročiai?,Ne. aš jų nemėgstu,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs dzerat cukura saldinātus dzērienus?,Kādi ir jūsu ēšanas paradumi?,Nē. Viņi nepatīk.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
dietary_restrictions,"Please, do you have any religious or cultural diet requirements?",,"I'm jewish. I eat Kosher food. To be specific, I prefer fish dishes.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diet,,0,Bitte haben Sie religiöse oder kulturelle Ernährungsanforderungen?,Wie ist Ihr Essen zubereitet?,"Ich bin jüdisch. Ich esse koscheres Essen. Um genau zu sein, bevorzuge ich Fischgerichte.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.","Snälla, har du några religiösa eller kulturella dietkrav?",#VALUE!,Jag är judisk. Jag äter kosher mat. För att vara specifik föredrar jag fiskrätter.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Prašau pasakyti, ar turite kokių nors religijos ar kultūros laikymosi reikalavimų?",Kaip ruošiate maistą?,"Aš žydas. Aš valgau košerinį maistą. Kad būtų konkretus, aš labiau mėgstu žuvies patiekalus.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.","Lūdzu, vai jums ir kādas reliģiskas vai kultūras diētas prasības?",Kā tiek pagatavots jūsu ēdiens?,"Es esmu ebrejs. Es ēdu Košera ēdienu. Konkrēti, es dodu priekšroku zivju ēdieniem.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
stress,Have you had any stress in the last few days?,Recent stress,"Yes, we are finishing a project, so I skip my meal somtimes.",It is good to know if the patient is currently in an acute stress situation. Very thoughtful of you to ask this question.,"It is good to know if the patient is currently in an acute stress situation. If you ask these questions, you can assess the patient's current situation very well - so please do not forget to ask about it. Stress unfortunately often affects blood glucose values.",1,HappyThumbsUp,,lifestyle,,1,Haben Sie in den letzten Tagen einen Stress gehabt?,Zuckerhaltige Getränke?,"Ja, wir beenden ein Projekt, also überspringe ich meine Mahlzeit etwas.","Es ist gut zu wissen, ob sich der Patient derzeit in einer akuten Stresssituation befindet. Sehr nachdenklich von Ihnen, diese Frage zu stellen.","Es ist gut zu wissen, ob sich der Patient derzeit in einer akuten Stresssituation befindet. Wenn Sie diese Fragen stellen, können Sie die aktuelle Situation des Patienten sehr gut bewerten. Bitte vergessen Sie nicht, darüber zu fragen. Stress wirkt sich leider oft auf die Blutzuckerwerte aus.",Har du haft någon stress de senaste dagarna?,Nyligen stress,"Ja, vi avslutar ett projekt, så jag hoppar över min måltid ibland.",Det är bra att veta om patienten för närvarande är i en akut stresssituation. Mycket tankeväckande av dig att ställa denna fråga.,Det är bra att veta om patienten för närvarande är i en akut stresssituation. Om du ställer dessa frågor kan du bedöma patientens nuvarande situation mycket bra - så glöm inte att fråga om det. Stress påverkar tyvärr ofta blodglukosvärden.,Ar per pastarąsias kelias dienas patyrėte stresą?,Ar geriate saldžius gėrimus?,"Taip, mes baigiame projektą, todėl aš kartais nepavalgau.","Gera žinoti, ar pacientas šiuo metu patiria ūminį streso situaciją. Labai apgalvota užduoti šį klausimą.","Gera žinoti, ar pacientas šiuo metu patiria ūminį streso situaciją. Jei užduosite šiuos klausimus, galite labai gerai įvertinti dabartinę paciento situaciją - todėl nepamirškite apie tai paklausti. Stresas, deja, dažnai daro įtaką gliukozės kiekiui kraujyje.",Vai jums pēdējās dienās ir bijis kāds stress?,Saldie dzērieni?,"Jā, mēs pabeidzam projektu, tāpēc es palaidu maltīti somtimes.","Ir labi zināt, vai pacients šobrīd atrodas akūta stresa situācijā. Ļoti pārdomāts par jums uzdot šo jautājumu.","Ir labi zināt, vai pacients šobrīd atrodas akūta stresa situācijā. Ja uzdodat šos jautājumus, jūs varat ļoti labi novērtēt pacienta pašreizējo situāciju - tāpēc, lūdzu, neaizmirstiet par to jautāt. Stress diemžēl bieži ietekmē glikozes līmeni asinīs."
alcohol,How often do you have alcoholic drinks?,Alcohol frequency,Very rarely. Sometimes a glass of wine with my wife.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,lifestyle,,0,Wie oft haben Sie alkoholische Getränke?,#VALUE!,Sehr selten. Manchmal ein Glas Wein mit meiner Frau.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur ofta har du alkoholhaltiga drycker?,Alkoholfrekvens,Väldigt sällan. Ibland ett glas vin med min fru.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip dažnai vartojate alkoholinius gėrimus?,#VALUE!,Labai retai. kartais vyno taurę kartu su žmona.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Cik bieži jums ir alkoholiskie dzērieni?,#VALUE!,Ļoti reti. Dažreiz glāze vīna ar manu sievu.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
tobacco,Do you smoke or chew tobacco?,Tobacco usage,No.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,lifestyle,,0,Rauchen oder kauen Sie Tabak?,Jüngster Stress,Nein,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Röker du eller tuggar tobak?,Tobaksanvändning,Nej.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar rūkote ar kramtote tabaką?,Stresas pastaruoju metu?,Nr.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs smēķējat vai košļāt tabaku?,Nesenais stress,Nē.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
children,Do you have children?,Do you have children?,"Yes, I have two. They have just started school right now and I worry about them.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,1,HappyFistToChest,,lifestyle,,0,Haben Sie Kinder?,Alkoholfrequenz,"Ja, ich habe zwei. Sie haben gerade gerade die Schule begonnen und ich mache mir Sorgen um sie.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du barn?,Har du barn?,"Ja, jag har två. De har precis börjat skolan just nu och jag oroar mig för dem.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar Jūs turite vaikų?,Alkoholio dažnumas,"Taip, aš turiu du. Jie ką tik pradėjo mokyklą dabar, todėl dėl jų nerimauju.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jums ir bērni?,Alkohola biežums,"Jā, man ir divi. Viņi šobrīd ir tikko sākuši skolu, un es par viņiem uztraucos.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
work,What is your work?,What is your work?,I work as a marketing manager in a large company.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,lifestyle,,0,Was ist deine Arbeit?,Tabakverbrauch,Ich arbeite als Marketingmanager in einem großen Unternehmen.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vad jobbar du med?,Vad jobbar du med?,Jag arbetar som marknadschef i ett stort företag.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Koks Jūsų darbas?,Koks Jūsų darbas?,Aš dirbu rinkodaros vadybininku didelėje įmonėje.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kāds ir tavs darbs?,Tabakas lietojums,Es strādāju par mārketinga vadītāju lielā uzņēmumā.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
